,CVE_ENT_x,NOM_ENT,NOM_MUN,CVE_LOC,NOM_LOC,CVE_SUN,NOM_SUN,POB_2018,CVEGEO,P_TOTAL_1990,P_TOTAL_2000,P_TOTAL_2010,P_TOTAL_2020,LONGITUD,LATITUD,CVE_MUN,NOMGEO
33,8,Chihuahua,Aldama,,,M08.01,Chihuahua,25755,8002,17169.0,19378,22302,26047,105.9112925,28.838380555555556,002,Aldama
34,8,Chihuahua,Hidalgo del Parral,,,M08.03,Hidalgo del Parral,119343,8032,90647.0,100821,107061,116662,105.66714333333334,26.92208777777778,032,Hidalgo del Parral
35,8,Chihuahua,Chihuahua,,,M08.01,Chihuahua,938713,8019,530783.0,671790,819543,937674,106.07630666666667,28.63679388888889,019,Chihuahua
36,8,Chihuahua,Delicias,,,M08.02,Delicias,157163,8021,104014.0,116426,137935,150506,105.47104666666667,28.192948055555554,021,Delicias
37,8,Chihuahua,Aquiles Serdán,,,M08.01,Chihuahua,15095,8004,3916.0,5327,10688,24344,105.88747388888889,28.594503333333332,004,Aquiles Serdán
38,8,Chihuahua,Meoqui,,,M08.02,Delicias,48927,8045,34995.0,40018,43833,44853,105.48029111111111,28.267796666666666,045,Meoqui
39,8,Chihuahua,San Francisco del Oro,,,M08.03,Hidalgo del Parral,5052,8059,9486.0,6054,4753,5004,105.85008027777778,26.858994444444445,059,San Francisco del Oro
40,8,Chihuahua,Juárez,,,M08.04,Juárez,1462133,8037,798499.0,1218817,1332131,1512450,106.48501861111112,31.74646527777778,037,Juárez
41,10,Durango,Durango,,,M10.01,Durango,660663,10005,413835.0,491436,582267,688697,104.67019444444445,24.023988055555556,005,Durango
42,10,Durango,Lerdo,,,M05.01,La Laguna,157655,10012,94324.0,112435,141043,163313,103.52484944444444,25.536551666666668,012,Lerdo
43,10,Durango,Gómez Palacio,,,M05.01,La Laguna,364540,10007,232742.0,273315,327985,372750,103.49641694444445,25.570107222222223,007,Gómez Palacio
44,11,Guanajuato,San Francisco del Rincón,,,M11.05,San Francisco del Rincón,121748,11031,83601.0,100239,113570,130871,101.85851805555555,21.018681388888886,031,San Francisco del Rincón
45,11,Guanajuato,Cortazar,,,M11.01,Celaya,93101,11011,74383.0,81359,88397,97928,100.9637288888889,20.48350638888889,011,Cortazar
46,11,Guanajuato,Silao de la Victoria,,,M11.03,León,192178,11037,115130.0,134337,173024,203556,101.42621611111112,20.94445027777778,037,Silao de la Victoria
47,11,Guanajuato,Pénjamo,,,M16.01,La Piedad-Pénjamo,159281,11023,137842.0,144426,149936,154960,101.72504388888889,20.431794722222225,023,Pénjamo
48,11,Guanajuato,Uriangato,,,M11.04,Moroleón-Uriangato,64299,11041,46710.0,52931,59305,61494,101.17805111111112,20.141011666666667,041,Uriangato
49,11,Guanajuato,Purísima del Rincón,,,M11.05,San Francisco del Rincón,78569,11025,30433.0,44778,68795,83842,101.87809916666666,21.029579166666664,025,Purísima del Rincón
50,11,Guanajuato,Comonfort,,,M11.01,Celaya,84344,11009,56592.0,67642,77794,82216,100.76120222222222,20.7200475,009,Comonfort
51,11,Guanajuato,León,,,M11.03,León,1565633,11020,867920.0,1134842,1436480,1721215,101.68319972222223,21.121971944444446,020,León
52,11,Guanajuato,Apaseo el Alto,,,M22.01,Querétaro,69580,11004,48455.0,56817,64433,63392,100.62162638888888,20.457171388888888,004,Apaseo el Alto
53,11,Guanajuato,Celaya,,,M11.01,Celaya,510787,11007,310569.0,382958,468469,521169,100.81357305555555,20.521523888888886,007,Celaya
54,11,Guanajuato,Moroleón,,,M11.04,Moroleón-Uriangato,51494,11021,48191.0,47132,49364,47261,101.18920861111111,20.13187027777778,021,Moroleón
55,11,Guanajuato,Villagrán,,,M11.01,Celaya,60593,11044,38680.0,45941,55782,65791,100.99650277777778,20.511371666666665,044,Villagrán
56,11,Guanajuato,Guanajuato,,,M11.02,Guanajuato,187490,11015,119170.0,141196,171709,194500,101.25362138888889,21.0160975,015,Guanajuato
57,12,Guerrero,Coyuca de Benítez,,,M12.01,Acapulco,77390,12021,60761.0,69059,73460,73056,100.08936722222222,17.009001666666666,021,Coyuca de Benítez
58,12,Guerrero,Chilpancingo de los Bravo,,,M12.02,Chilpancingo,269990,12029,136164.0,192947,241717,283354,99.50106277777778,17.551649444444447,029,Chilpancingo de los Bravo
59,12,Guerrero,Eduardo Neri,,,M12.02,Chilpancingo,51091,12075,32997.0,40064,46158,53126,99.52593666666667,17.65319722222222,075,Eduardo Neri
60,12,Guerrero,Acapulco de Juárez,,,M12.01,Acapulco,857883,12001,593212.0,722499,789971,779566,99.88655777777778,16.861866944444447,001,Acapulco de Juárez
61,13,Hidalgo,Zempoala,,,M13.01,Pachuca,49375,13083,21295.0,24516,39143,57906,98.66813055555556,19.915396666666666,083,Zempoala
62,13,Hidalgo,Tulancingo de Bravo,,,M13.03,Tulancingo,172330,13077,92570.0,122274,151584,168369,98.36807277777777,20.080605,077,Tulancingo de Bravo
63,13,Hidalgo,San Agustín Tlaxiaca,,,M13.01,Pachuca,36283,13052,19941.0,24248,32057,38891,98.88677750000001,20.115660833333333,052,San Agustín Tlaxiaca
64,13,Hidalgo,Tula de Allende,,,M13.02,Tula,114803,13076,73713.0,86840,103919,115107,99.34318888888889,20.055219722222223,076,Tula de Allende
65,13,Hidalgo,Cuautepec de Hinojosa,,,M13.03,Tulancingo,62321,13016,36519.0,45110,54500,60421,98.30973805555556,20.03547,016,Cuautepec de Hinojosa
66,13,Hidalgo,Tlahuelilpan,,,M13.02,Tula,18881,13070,11508.0,13936,17153,19067,99.23467972222222,20.130627222222223,070,Tlahuelilpan
67,13,Hidalgo,Tizayuca,,,M09.01,Valle de México,136025,13069,30293.0,46344,97461,168302,98.98158416666666,19.841088888888887,069,Tizayuca
68,13,Hidalgo,Tlaxcoapan,,,M13.02,Tula,29135,13074,18264.0,22641,26758,28626,99.22159333333333,20.091614444444442,074,Tlaxcoapan
69,13,Hidalgo,Zapotlán de Juárez,,,M13.01,Pachuca,19554,13082,11481.0,14888,18036,21443,98.86188277777777,19.97404722222222,082,Zapotlán de Juárez
70,13,Hidalgo,Mineral del Monte,,,M13.01,Pachuca,15637,13039,13043.0,12885,13864,14324,98.67153,20.14049111111111,039,Mineral del Monte
71,13,Hidalgo,Mineral de la Reforma,,,M13.01,Pachuca,181222,13051,20820.0,42223,127404,202749,98.69603472222222,20.07237138888889,051,Mineral de la Reforma
72,13,Hidalgo,Santiago Tulantepec de Lugo Guerrero,,,M13.03,Tulancingo,37577,13056,18048.0,26254,33495,39561,98.35700638888888,20.039193055555558,056,Santiago Tulantepec de Lugo Guerrero
73,13,Hidalgo,Atotonilco de Tula,,,M13.02,Tula,35209,13013,19327.0,24848,31078,62470,99.22019083333333,20.007766666666665,013,Atotonilco de Tula
